화약,뇌관,암종,SR SD,CR SD,최대입자속도
에멀젼C,전자,섬록암,93.43,71.74,0.019
에멀젼C,전자,섬록암,108.0,82.93,0.033
에멀젼C,전자,섬록암,141.35,108.54,0.018000000000000002
에멀젼C,전자,섬록암,106.6,84.61,0.027000000000000003
에멀젼C,전자,섬록암,99.2,78.74,0.04
에멀젼C,전자,섬록암,104.6,83.02,0.022000000000000002
에멀젼C,전자,섬록암,103.2,81.91,0.032
에멀젼C,전자,섬록암,102.8,81.59,0.025
에멀젼C,전자,섬록암,129.0,102.39,0.022000000000000002
에멀젼C,전자,섬록암,146.6,116.36,0.018000000000000002
에멀젼C,전자,섬록암,122.7,83.59,0.10800000000000001
에멀젼C,전자,섬록암,145.46,99.1,0.156
에멀젼C,전자,섬록암,178.04,121.29,0.051
에멀젼C,전자,섬록암,79.0,62.27,0.17300000000000001
에멀젼C,전자,섬록암,95.73,75.47,0.157
에멀젼C,전자,섬록암,118.19,93.17,0.051
에멀젼C,전자,섬록암,79.0,62.27,0.135
에멀젼C,전자,섬록암,96.55,76.11,0.133
에멀젼C,전자,섬록암,119.82,94.46,0.051
에멀젼C,전자,섬록암,99.0,78.04,0.033
에멀젼C,전자,섬록암,79.0,62.27,0.141
에멀젼C,전자,섬록암,97.57,76.92,0.157
에멀젼C,전자,섬록암,121.45,95.74,0.064
에멀젼C,전자,섬록암,80.22,63.24,0.078
에멀젼C,전자,섬록암,77.57,61.15,0.127
에멀젼C,전자,섬록암,77.57,61.15,0.10800000000000001
에멀젼C,전자,섬록암,99.2,78.2,0.13699999999999998
에멀젼C,전자,섬록암,79.81,62.92,0.18100000000000002
에멀젼C,전자,섬록암,77.36,60.99,0.11599999999999999
에멀젼C,전자,섬록암,77.16,60.83,0.114
에멀젼C,전자,섬록암,100.02,78.85,0.245
에멀젼C,전자,섬록암,91.24,71.93,0.044000000000000004
에멀젼C,전자,섬록암,79.4,62.6,0.091
에멀젼C,전자,섬록암,77.57,61.15,0.14
에멀젼C,전자,섬록암,100.84,79.49,0.18899999999999997
에멀젼C,전자,섬록암,92.8,73.66,0.055999999999999994
에멀젼C,전자,섬록암,77.4,61.43,0.1
에멀젼C,전자,섬록암,75.8,60.16,0.122
에멀젼C,전자,섬록암,99.8,79.21,0.121
에멀젼C,전자,섬록암,75.4,59.85,0.16
에멀젼C,전자,섬록암,90.8,72.07,0.138
에멀젼C,전자,섬록암,106.0,84.13,0.13
에멀젼C,전자,섬록암,92.75,78.77,0.035
에멀젼C,전자,섬록암,80.67,68.5,0.038
에멀젼C,전자,섬록암,62.71,53.25,0.067
에멀젼C,전자,섬록암,85.24,72.39,0.028999999999999998
에멀젼C,전자,섬록암,90.47,76.82,0.035
에멀젼C,전자,섬록암,78.71,66.84,0.062
에멀젼C,전자,섬록암,62.54,53.11,0.052000000000000005
